Aashar,Shayer
"aañkh se duur na ho dil se utar jā.egā
vaqt kā kyā hai guzartā hai guzar jā.egā",ahmad-faraz
"itnā mānūs na ho ḳhalvat-e-ġham se apnī
tū kabhī ḳhud ko bhī dekhegā to Dar jā.egā",ahmad-faraz
"Dūbte Dūbte kashtī ko uchhālā de duuñ
maiñ nahīñ koī to sāhil pe utar jā.egā",ahmad-faraz
"zindagī terī atā hai to ye jaane vaalā
terī baḳhshish tirī dahlīz pe dhar jā.egā",ahmad-faraz
"zabt lāzim hai magar dukh hai qayāmat kā 'farāz'
zālim ab ke bhī na ro.egā to mar jā.egā",ahmad-faraz
"āshiqī meñ 'mīr' jaise ḳhvāb mat dekhā karo
bāvle ho jāoge mahtāb mat dekhā karo",ahmad-faraz
"jasta jasta paḌh liyā karnā mazāmīn-e-vafā
par kitāb-e-ishq kā har baab mat dekhā karo",ahmad-faraz
"is tamāshe meñ ulaT jaatī haiñ aksar kashtiyāñ
Dūbne vāloñ ko zer-e-āb mat dekhā karo",ahmad-faraz
"mai-kade meñ kyā takalluf mai-kashī meñ kyā hijāb
bazm-e-sāqī meñ adab ādāb mat dekhā karo",ahmad-faraz
"ham se durveshoñ ke ghar aao to yāroñ kī tarah
har jagah ḳhas-ḳhāna o barfāb mat dekhā karo",ahmad-faraz
"māñge-tāñge kī qabā.eñ der tak rahtī nahīñ
yaar logoñ ke laqab-alqāb mat dekhā karo",ahmad-faraz
"tishnagī meñ lab bhigo lenā bhī kaafī hai 'farāz'
jaam meñ sahbā hai yā zahrāb mat dekhā karo",ahmad-faraz
"ab aur kyā kisī se marāsim baḌhā.eñ ham
ye bhī bahut hai tujh ko agar bhuul jaa.eñ ham",ahmad-faraz
"sahrā-e-zindagī meñ koī dūsrā na thā
sunte rahe haiñ aap hī apnī sadā.eñ ham",ahmad-faraz
"is zindagī meñ itnī farāġhat kise nasīb
itnā na yaad aa ki tujhe bhuul jaa.eñ ham",ahmad-faraz
"tū itnī dil-zada to na thī ai shab-e-firāq
aa tere rāste meñ sitāre luTā.eñ ham",ahmad-faraz
"vo log ab kahāñ haiñ jo kahte the kal 'farāz'
he he ḳhudā-na-karda tujhe bhī rulā.eñ ham",ahmad-faraz
"ab ke ham bichhḌe to shāyad kabhī ḳhvāboñ meñ mileñ
jis tarah sūkhe hue phuul kitāboñ meñ mileñ",ahmad-faraz
"DhūñDh ujḌe hue logoñ meñ vafā ke motī
ye ḳhazāne tujhe mumkin hai ḳharāboñ meñ mileñ",ahmad-faraz
"ġham-e-duniyā bhī ġham-e-yār meñ shāmil kar lo
nashsha baḌhtā hai sharābeñ jo sharāboñ meñ mileñ",ahmad-faraz
"tū ḳhudā hai na mirā ishq farishtoñ jaisā
donoñ insāñ haiñ to kyuuñ itne hijāboñ meñ mileñ",ahmad-faraz
"aaj ham daar pe khīñche ga.e jin bātoñ par
kyā ajab kal vo zamāne ko nisāboñ meñ mileñ",ahmad-faraz
"ab na vo maiñ na vo tū hai na vo maazī hai 'farāz'
jaise do shaḳhs tamannā ke sarāboñ meñ mileñ",ahmad-faraz
"ab ke tajdīd-e-vafā kā nahīñ imkāñ jānāñ
yaad kyā tujh ko dilā.eñ tirā paimāñ jānāñ",ahmad-faraz
"yūñhī mausam kī adā dekh ke yaad aayā hai
kis qadar jald badal jaate haiñ insāñ jānāñ",ahmad-faraz
"zindagī terī atā thī so tire naam kī hai
ham ne jaise bhī basar kī tirā ehsāñ jānāñ",ahmad-faraz
"dil ye kahtā hai ki shāyad hai fasurda tū bhī
dil kī kyā baat kareñ dil to hai nādāñ jānāñ",ahmad-faraz
"avval avval kī mohabbat ke nashe yaad to kar
be-piye bhī tirā chehra thā gulistāñ jānāñ",ahmad-faraz
"āḳhir āḳhir to ye aalam hai ki ab hosh nahīñ
rag-e-mīnā sulag uTThī ki rag-e-jāñ jānāñ",ahmad-faraz
"muddatoñ se yahī aalam na tavaqqo na umiid
dil pukāre hī chalā jaatā hai jānāñ jānāñ",ahmad-faraz
"ham bhī kyā saada the ham ne bhī samajh rakkhā thā
ġham-e-daurāñ se judā hai ġham-e-jānāñ jānāñ",ahmad-faraz
"ab ke kuchh aisī sajī mahfil-e-yārāñ jānāñ
sar-ba-zānū hai koī sar-ba-garebāñ jānāñ",ahmad-faraz
"har koī apnī hī āvāz se kaañp uThtā hai
har koī apne hī saa.e se hirāsāñ jānāñ",ahmad-faraz
"jis ko dekho vahī zanjīr-ba-pā lagtā hai
shahr kā shahr huā dāḳhil-e-zindāñ jānāñ",ahmad-faraz
"ab tirā zikr bhī shāyad hī ġhazal meñ aa.e
aur se aur hue dard ke unvāñ jānāñ",ahmad-faraz
"ham ki rūThī huī rut ko bhī manā lete the
ham ne dekhā hī na thā mausam-e-hijrāñ jānāñ",ahmad-faraz
"hosh aayā to sabhī ḳhvāb the reza reza
jaise uḌte hue aurāq-e-pareshāñ jānāñ",ahmad-faraz
"ab kyā socheñ kyā hālāt the kis kāran ye zahr piyā hai
ham ne us ke shahr ko chhoḌā aur āñkhoñ ko muuñd liyā hai",ahmad-faraz
"apnā ye sheva to nahīñ thā apne ġham auroñ ko sauñpeñ
ḳhud to jāgte yā sote haiñ us ko kyuuñ be-ḳhvāb kiyā hai",ahmad-faraz
"ḳhilqat ke āvāze bhī the band us ke darvāze bhī the
phir bhī us kūche se guzre phir bhī us kā naam liyā hai",ahmad-faraz
"hijr kī rut jāñ-levā thī par ġhalat sabhī andāze nikle
taaza rifāqat ke mausam tak maiñ bhī jiyā huuñ vo bhī jiyā hai",ahmad-faraz
"ek 'farāz' tumhīñ tanhā ho jo ab tak dukh ke rasiyā ho
varna aksar dil vāloñ ne dard kā rasta chhoḌ diyā hai",ahmad-faraz
"ab shauq se ki jaañ se guzar jaanā chāhiye
bol ai havā-e-shahr kidhar jaanā chāhiye",ahmad-faraz
"kab tak isī ko āḳhirī manzil kaheñge ham
kū-e-murād se bhī udhar jaanā chāhiye",ahmad-faraz
"vo vaqt aa gayā hai ki sāhil ko chhoḌ kar
gahre samundaroñ meñ utar jaanā chāhiye",ahmad-faraz
"ab raftagāñ kī baat nahīñ kārvāñ kī hai
jis samt bhī ho gard-e-safar jaanā chāhiye",ahmad-faraz
"kuchh to subūt-e-ḳhūn-e-tamannā kahīñ mile
hai dil tahī to aañkh ko bhar jaanā chāhiye",ahmad-faraz
"yā apnī ḳhvāhishoñ ko muqaddas na jānte
yā ḳhvāhishoñ ke saath hī mar jaanā chāhiye",ahmad-faraz
"abhī kuchh aur karishme ġhazal ke dekhte haiñ
'farāz' ab zarā lahja badal ke dekhte haiñ",ahmad-faraz
"judā.iyāñ to muqaddar haiñ phir bhī jān-e-safar
kuchh aur duur zarā saath chal ke dekhte haiñ",ahmad-faraz
"rah-e-vafā meñ harīf-e-ḳhirām koī to ho
so apne aap se aage nikal ke dekhte haiñ",ahmad-faraz
"tū sāmne hai to phir kyuuñ yaqīñ nahīñ aatā
ye baar baar jo āñkhoñ ko mal ke dekhte haiñ",ahmad-faraz
"ye kaun log haiñ maujūd terī mahfil meñ
jo lālachoñ se tujhe mujh ko jal ke dekhte haiñ",ahmad-faraz
"ye qurb kyā hai ki yak-jāñ hue na duur rahe
hazār ek hī qālib meñ Dhal ke dekhte haiñ",ahmad-faraz
"na tujh ko maat huī hai na mujh ko maat huī
so ab ke donoñ hī chāleñ badal ke dekhte haiñ",ahmad-faraz
"ye kaun hai sar-e-sāhil ki Dūbne vaale
samundaroñ kī tahoñ se uchhal ke dekhte haiñ",ahmad-faraz
"abhī talak to na kundan hue na raakh hue
ham apnī aag meñ har roz jal ke dekhte haiñ",ahmad-faraz
"bahut dinoñ se nahīñ hai kuchh us kī ḳhair ḳhabar
chalo 'farāz' ko ai yaar chal ke dekhte haiñ",ahmad-faraz
"agarche zor havāoñ ne Daal rakkhā hai
magar charāġh ne lau ko sambhāl rakkhā hai",ahmad-faraz
"mohabbatoñ meñ to milnā hai yā ujaḌ jaanā
mizāj-e-ishq meñ kab e'tidāl rakkhā hai",ahmad-faraz
"havā meñ nashsha hī nashsha fazā meñ rañg hī rañg
ye kis ne pairahan apnā uchhāl rakkhā hai",ahmad-faraz
"bhale dinoñ kā bharosā hī kyā raheñ na raheñ
so maiñ ne rishta-e-ġham ko bahāl rakkhā hai",ahmad-faraz
"ham aise sāda-diloñ ko vo dost ho ki ḳhudā
sabhī ne vāda-e-fardā pe Taal rakkhā hai",ahmad-faraz
